Name,Time,Location,Link
New RAG Vice President EGM,Monday at 7 PM – 8 PM,S0.19,https://www.facebook.com/events/316968182234845
Christmas Jumper Megaraid,Dec 4 – Dec 5,"London, United Kingdom",https://www.facebook.com/events/269907790390198
British Blind Sport Fundraising,"Thursday, December 6, 2018 at 12 PM – 8 PM",Royal Priors Shopping Centre,https://www.facebook.com/events/435901190275144
RAW Christmas Dinner,"Thursday, December 6, 2018 at 7 PM – 10 PM",The Clarendon Leamington Spa,https://www.facebook.com/events/266277220911052
Christmas Dinner (Cov) - Week 10,"Thursday, December 6, 2018 at 6 PM – 11:59 PM",Warwick University Real Ale Society,https://www.facebook.com/events/747281332338714
Rocksoc Goes Brum,Today at 7 PM – 3 AM,UPRAWR Birmingham,https://www.facebook.com/events/373732090097801
Pass The Mic - Sexpression Speakers,"Wednesday, December 5, 2018 at 6 PM – 8 PM",R1.13,https://www.facebook.com/events/196012174654946
End of Term Quiz,Monday at 5 PM – 7 PM,"Law School Student Hub, ground floor",https://www.facebook.com/events/516909405488311
EaSoc X SomSoc Movie Night,"Thursday, December 6, 2018 at 6 PM","Maths and Statistics, University Of Warwick",https://www.facebook.com/events/922547231466121
Free Christmas Concert - String Orchestra,"Thursday, December 6, 2018 at 6 PM – 7 PM","Ensemble Room, Arts Centre",https://www.facebook.com/events/368910827178563
The Christmas Ball 2018,Today at 7:30 PM – 3 AM,"The Royal Pump Rooms, Leamington Spa",https://www.facebook.com/events/411745449357695
Chocolate Fondue Swiss x Italian Speaking Soc *SOLD OUT*,"Thursday, December 6, 2018 at 8 PM – 12 AM","3 Clarendon Square, Leamington Spa, CV32 5, United Kingdom",https://www.facebook.com/events/2224478927840357
Warwick Christmas Carol Concert,Tuesday at 7 PM – 9 PM,Warwick Arts Centre,https://www.facebook.com/events/375161833239603
End of Term 1 Tabletop Weekend,Dec 1 at 10 AM – Dec 2 at 10 PM,"B2.02 (Science Concourse), University of Warwick",https://www.facebook.com/events/1950750388567236
